JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460357.301484,7.4573,0.0397,,TR,BDJB,,ENSEMBLE,000-BPV-379,X35899K,CANON 1100D; 100MM; ISO 100; F2.0; 10 SEC X 16 IMAGES MEDIAN STACKED IN GROUPS OF 4,0,1.280,Z,,-10.5228,,N SCO 2024,ASSAU,STD,,,,
2460357.397869,8.765,0.259,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.028,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.397934,7.068,0.233,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.027,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.397934,8.060,0.019,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.027,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.398943,9.069,0.666,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.017,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.399116,6.986,0.095,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.016,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.399116,8.001,0.019,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.016,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.399754,9.062,0.646,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.009,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.400306,7.013,0.133,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.004,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.400306,8.043,0.052,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,2.004,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.401236,9.174,0.679,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.995,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.401940,6.966,0.035,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.989,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.401940,8.031,0.038,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.989,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.403313,9.116,0.658,,TB,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.976,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.403691,7.040,0.051,,TR,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.973,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.403691,8.049,0.075,,TG,EJOC,,ENSEMBLE,,,ZWO SEESTAR; IMX462 WITH IR CUT; PHOTOMETRY MEASUREMENT BY AJY,0,1.973,Z,,,,PNV J17261813-3809354,AAVSO,STD,,,,
2460357.66025,7.039,0.014,,R,KMWA,,ENSEMBLE,115,X35942Z,|KDEC=-38.15536|KMAGINS=-8.711|KMAGSTD=11.203|KRA=261.5275|KREFERR=0.222|KREFMAG=10.996|VMAGINS=-12.795,1,1.320,Z,,11.203,,V1723 SCO,BAV,STD,,,,
2460357.66251,8.396,0.040,,V,KMWA,,ENSEMBLE,115,X35942Z,|KDEC=-38.15536|KMAGINS=-8.718|KMAGSTD=11.477|KRA=261.5275|KREFERR=0.021|KREFMAG=11.521|VMAGINS=-11.822,1,1.320,Z,,11.477,,V1723 SCO,BAV,STD,,,,
